"File","SourceSHA256","TargetSHA256","Match"
"gamedata/scripts/allcore_hide.script","32EC5ED2041E927B9A9C75FA181C23D1EBC0A63DB582367167546DB1349529DC","32EC5ED2041E927B9A9C75FA181C23D1EBC0A63DB582367167546DB1349529DC","True"
"gamedata/scripts/he_watch_display.script","85AEB58F3465E09ED01E93D2C012206B4C30F342469D3A5EE4D4ADB9F48DAB54","85AEB58F3465E09ED01E93D2C012206B4C30F342469D3A5EE4D4ADB9F48DAB54","True"
"gamedata/scripts/ogse/ogse_signals_addons_list.script","D19E35EFBC991CC1464BF70B1D30E4933D228648EA14F50331F4449E1566F967","D19E35EFBC991CC1464BF70B1D30E4933D228648EA14F50331F4449E1566F967","True"
"gamedata/config/system.ltx","7475535D17AB899D2C541EB85A9EA7A2462E33F9242FC968DF252097FAF2C216","7475535D17AB899D2C541EB85A9EA7A2462E33F9242FC968DF252097FAF2C216","True"
"gamedata/shaders/r3/he_watch_common.h","1F5E92A190B1F925D7388A1844A12C585C81F027659459A46803C4DFF95582CA","1F5E92A190B1F925D7388A1844A12C585C81F027659459A46803C4DFF95582CA","True"
"gamedata/config/text/eng/he_watch.xml","9C369F26A19B00608E904978CA696884561D407AF84E8B235A9F943859DF1036","9C369F26A19B00608E904978CA696884561D407AF84E8B235A9F943859DF1036","True"
"gamedata/config/text/rus/he_watch.xml","85413318AA2C536CFC9A85E36994AD11E15153A49EF03B5729C24BB5A5E20CE9","85413318AA2C536CFC9A85E36994AD11E15153A49EF03B5729C24BB5A5E20CE9","True"
"gamedata/shaders/r3/model_blood_icon.ps","77F5B522B5D3B375680CA3D97342C662E4E6B0FDDDE791AFFDCD1D0CF78D0039","77F5B522B5D3B375680CA3D97342C662E4E6B0FDDDE791AFFDCD1D0CF78D0039","True"
"gamedata/shaders/r3/model_blood_icon.s","BFC1AE63E44797BB6DA25C300FC651B7ECFF8E9C942B0BB5519C483B6966CFCF","BFC1AE63E44797BB6DA25C300FC651B7ECFF8E9C942B0BB5519C483B6966CFCF","True"
"gamedata/textures/act/watch/icon_thirst2.dds","E2D79EB50D186D41624D6D3F82B4D9506564CDC4C471B996BD7C10B218BA633F","E2D79EB50D186D41624D6D3F82B4D9506564CDC4C471B996BD7C10B218BA633F","True"
"gamedata/shaders/r3/model_clock.ps","B329D6484EC63C4E904BCAA12D4F8D1C703B052DC0EC723DA3CF7352CF9374C3","B329D6484EC63C4E904BCAA12D4F8D1C703B052DC0EC723DA3CF7352CF9374C3","True"
"gamedata/shaders/r3/model_clock.s","7A55691EC618BA2C651101B1822EDF7CC29AC02D54ABAF13DD21192B5907F687","7A55691EC618BA2C651101B1822EDF7CC29AC02D54ABAF13DD21192B5907F687","True"
"gamedata/textures/shaders/watch/he_radiation_digits.dds","E426A144DF436ED9DA08052E62E637178F278D5D67745A0A9C4A7C37F1F6257C","E426A144DF436ED9DA08052E62E637178F278D5D67745A0A9C4A7C37F1F6257C","True"
